PolicyNumber;Make;Sex;MaritalStatus;Age;VehicleCategory;VehiclePrice;Deductible;DriverRating;PastNumberOfClaims;AgeOfVehicle;AgentType;NumberOfCars;BasePolicy;FraudFound_P
10648;Accura;Male;Married;54;Sedan;30000 to 39000;400;1;none;more than 7;External;1 vehicle;All Perils;0
25135;Pontiac;Male;Married;23;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;All Perils;0
33939;Mazda;Male;Married;30;Sport;more than 69000;400;2;none;7 years;External;1 vehicle;Liability;0
47210;Mazda;Male;Single;40;Sedan;30000 to 39000;400;2;2 to 4;more than 7;External;1 vehicle;Collision;0
2649;Pontiac;Male;Single;32;Sedan;30000 to 39000;400;4;none;7 years;External;1 vehicle;Collision;0
9750;Honda;Male;Married;71;Sport;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Liability;0
35890;Toyota;Male;Single;24;Sport;30000 to 39000;400;2;2 to 4;4 years;External;1 vehicle;Liability;0
4906;Toyota;Male;Married;52;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;All Perils;0
17313;Mazda;Male;Married;47;Sport;30000 to 39000;400;4;1;more than 7;External;1 vehicle;Liability;0
26988;Pontiac;Male;Married;60;Sedan;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;All Perils;0
970;Honda;Male;Married;22;Sport;more than 69000;400;2;none;5 years;External;3 to 4;Collision;0
42653;Honda;Male;Married;26;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;Collision;0
12535;Chevrolet;Female;Married;39;Sedan;20000 to 29000;400;3;none;more than 7;External;1 vehicle;Collision;0
48322;Pontiac;Male;Married;27;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;All Perils;0
24497;Pontiac;Male;Married;27;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;All Perils;1
42174;Toyota;Female;Married;51;Sedan;20000 to 29000;400;4;1;more than 7;External;1 vehicle;Collision;0
26878;Pontiac;Male;Single;27;Sedan;less than 20000;400;2;2 to 4;5 years;External;1 vehicle;All Perils;0
9709;Pontiac;Female;Married;43;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;Collision;0
28512;Mazda;Male;Married;42;Sport;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
28029;Toyota;Male;Married;29;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;All Perils;0
48913;Pontiac;Male;Married;67;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;All Perils;0
25509;Honda;Female;Single;30;Sport;20000 to 29000;400;1;more than 4;6 years;External;1 vehicle;Liability;0
32152;Pontiac;Male;Single;36;Sedan;30000 to 39000;400;2;more than 4;7 years;External;1 vehicle;All Perils;0
28811;Chevrolet;Male;Married;38;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;Collision;0
32653;VW;Male;Married;50;Sedan;60000 to 69000;400;2;2 to 4;more than 7;External;1 vehicle;All Perils;0
399;Toyota;Male;Married;32;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;All Perils;0
24605;Chevrolet;Female;Single;39;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
18198;Honda;Male;Single;52;Sport;20000 to 29000;500;4;more than 4;7 years;External;1 vehicle;Liability;0
8350;Mazda;Male;Married;49;Sedan;30000 to 39000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;0
45288;Honda;Female;Single;27;Sport;20000 to 29000;400;4;1;7 years;External;3 to 4;Liability;0
3131;Ford;Female;Married;52;Sedan;40000 to 59000;400;4;2 to 4;more than 7;External;1 vehicle;All Perils;0
4660;Toyota;Male;Married;28;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;2 vehicles;Collision;0
9810;Accura;Male;Married;50;Sedan;40000 to 59000;400;4;2 to 4;more than 7;External;1 vehicle;Collision;1
35851;Honda;Female;Single;48;Sport;more than 69000;400;2;none;more than 7;External;1 vehicle;Collision;0
11696;Toyota;Female;Married;29;Sedan;more than 69000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
24133;Honda;Male;Married;40;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Collision;0
11047;Accura;Male;Married;51;Utility;30000 to 39000;400;4;more than 4;more than 7;External;1 vehicle;All Perils;0
15776;Saab;Male;Married;32;Sport;30000 to 39000;400;1;more than 4;7 years;External;1 vehicle;Liability;0
48052;Toyota;Male;Married;37;Sedan;20000 to 29000;500;4;2 to 4;7 years;External;1 vehicle;Collision;0
8531;Pontiac;Male;Married;53;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
12602;Dodge;Male;Single;26;Sport;40000 to 59000;400;4;1;5 years;External;1 vehicle;Liability;0
16264;Pontiac;Male;Married;49;Sedan;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;0
46096;Mazda;Male;Married;35;Sport;more than 69000;400;3;none;3 years;External;1 vehicle;Collision;1
35559;Pontiac;Male;Married;37;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;All Perils;0
45609;Pontiac;Male;Single;26;Sedan;less than 20000;400;4;more than 4;6 years;External;1 vehicle;Collision;0
4328;Chevrolet;Male;Married;51;Sedan;20000 to 29000;500;4;2 to 4;more than 7;External;1 vehicle;Collision;0
37278;Honda;Male;Married;63;Sport;more than 69000;400;1;none;7 years;External;1 vehicle;Collision;1
31192;Honda;Male;Single;0;Sport;more than 69000;400;2;1;new;External;1 vehicle;Liability;0
6929;Mazda;Male;Single;29;Sport;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
23021;Pontiac;Male;Married;46;Sport;30000 to 39000;400;1;more than 4;7 years;External;3 to 4;Liability;0
1099;Honda;Male;Married;27;Sport;more than 69000;400;2;more than 4;new;External;1 vehicle;All Perils;0
13593;Mazda;Male;Married;38;Sedan;20000 to 29000;400;4;none;more than 7;External;1 vehicle;Collision;0
41877;Pontiac;Male;Single;24;Sedan;20000 to 29000;400;3;none;5 years;External;1 vehicle;Collision;0
8537;Ford;Male;Married;51;Sedan;30000 to 39000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;0
11751;Chevrolet;Male;Married;60;Sedan;20000 to 29000;400;2;1;more than 7;External;1 vehicle;All Perils;0
24285;Toyota;Male;Married;71;Sedan;30000 to 39000;400;1;more than 4;more than 7;External;1 vehicle;All Perils;0
5774;Toyota;Male;Married;29;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;All Perils;0
23360;Pontiac;Male;Married;28;Sedan;30000 to 39000;400;1;none;6 years;External;1 vehicle;All Perils;0
22258;Toyota;Male;Married;62;Sedan;less than 20000;400;2;none;more than 7;External;1 vehicle;All Perils;0
4214;Pontiac;Female;Single;31;Sport;30000 to 39000;400;3;more than 4;6 years;External;1 vehicle;Liability;0
43915;Honda;Female;Married;39;Sport;more than 69000;400;3;2 to 4;5 years;External;1 vehicle;Collision;0
6181;Pontiac;Female;Married;39;Sport;less than 20000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
2191;Pontiac;Male;Married;44;Sedan;30000 to 39000;400;3;none;more than 7;External;1 vehicle;Collision;0
41641;Pontiac;Male;Married;37;Sedan;less than 20000;400;2;1;7 years;External;1 vehicle;All Perils;0
22483;Mazda;Male;Married;50;Sedan;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;0
26993;Pontiac;Male;Married;54;Sport;30000 to 39000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
46514;Toyota;Male;Married;30;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Collision;0
37666;Toyota;Male;Married;29;Sport;20000 to 29000;400;2;1;7 years;External;1 vehicle;Liability;0
48172;Chevrolet;Male;Married;43;Sedan;30000 to 39000;400;2;2 to 4;7 years;External;3 to 4;Collision;0
22882;Mazda;Male;Single;54;Utility;more than 69000;400;3;2 to 4;more than 7;External;1 vehicle;All Perils;0
33467;Toyota;Female;Single;34;Sport;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
22523;Mazda;Female;Single;29;Sedan;30000 to 39000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
33795;Toyota;Male;Married;32;Sedan;30000 to 39000;400;2;1;6 years;External;1 vehicle;Collision;0
19254;Mazda;Male;Married;41;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;Collision;0
9475;Mazda;Male;Married;45;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;Collision;0
43627;Chevrolet;Male;Married;29;Sport;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Liability;0
25746;Mazda;Male;Married;29;Sport;more than 69000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
1812;Chevrolet;Male;Married;53;Sport;30000 to 39000;400;2;none;more than 7;External;1 vehicle;Liability;0
820;Toyota;Male;Single;26;Sport;30000 to 39000;400;4;more than 4;5 years;External;1 vehicle;Liability;0
23011;Honda;Male;Married;62;Sedan;less than 20000;400;1;2 to 4;more than 7;External;1 vehicle;Collision;0
27476;Mazda;Male;Single;42;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;Collision;0
16851;Pontiac;Male;Married;41;Sedan;less than 20000;400;4;none;7 years;External;1 vehicle;All Perils;0
13764;Toyota;Male;Married;44;Sedan;20000 to 29000;400;2;1;7 years;External;1 vehicle;Collision;0
19731;Pontiac;Female;Married;51;Sport;20000 to 29000;400;3;1;7 years;External;1 vehicle;Liability;0
16582;Honda;Male;Single;58;Sport;more than 69000;400;4;none;7 years;External;1 vehicle;Collision;0
3714;Honda;Male;Married;27;Sedan;20000 to 29000;400;2;2 to 4;5 years;External;1 vehicle;Collision;0
29219;Chevrolet;Male;Married;55;Sedan;30000 to 39000;400;3;2 to 4;7 years;External;1 vehicle;Collision;0
1075;Honda;Male;Single;30;Sport;more than 69000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
46889;Ford;Male;Married;62;Sedan;30000 to 39000;400;3;none;more than 7;External;1 vehicle;All Perils;0
42;Toyota;Male;Married;40;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;All Perils;0
12424;Ford;Male;Single;27;Sedan;30000 to 39000;400;3;2 to 4;6 years;External;1 vehicle;Collision;0
21411;Mazda;Male;Single;32;Sport;20000 to 29000;400;1;1;5 years;External;1 vehicle;Liability;0
6078;Chevrolet;Male;Married;47;Sedan;30000 to 39000;400;3;none;6 years;External;1 vehicle;Collision;0
13555;Pontiac;Male;Married;44;Sport;30000 to 39000;400;3;1;7 years;External;1 vehicle;Liability;0
44075;Pontiac;Male;Married;33;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;Collision;0
5152;Toyota;Male;Single;27;Sedan;20000 to 29000;400;2;none;6 years;External;1 vehicle;All Perils;1
41828;Honda;Female;Single;32;Sport;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Liability;0
45648;Dodge;Male;Single;30;Sport;30000 to 39000;400;2;1;6 years;External;1 vehicle;Liability;0
26333;Chevrolet;Male;Single;29;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;Collision;0
11454;Accura;Male;Single;29;Utility;more than 69000;400;4;none;6 years;External;1 vehicle;All Perils;0
7494;Pontiac;Male;Married;36;Sport;30000 to 39000;400;4;2 to 4;7 years;External;2 vehicles;Liability;0
11555;Toyota;Female;Single;29;Sedan;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Collision;0
3309;Pontiac;Male;Single;27;Sedan;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Collision;1
37454;Pontiac;Female;Married;40;Sedan;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Collision;0
24309;Toyota;Male;Married;48;Sport;more than 69000;400;4;none;more than 7;External;1 vehicle;Liability;0
34023;Honda;Female;Married;31;Sport;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;Liability;0
7339;Chevrolet;Female;Single;32;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;All Perils;0
46448;Toyota;Male;Single;34;Sport;30000 to 39000;400;4;2 to 4;6 years;External;1 vehicle;Liability;0
20809;Toyota;Male;Married;40;Sport;20000 to 29000;400;3;none;7 years;External;1 vehicle;Liability;0
41282;Chevrolet;Female;Married;41;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;Collision;0
10233;Toyota;Male;Married;34;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;Collision;0
49059;Ford;Male;Married;43;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;Collision;0
41432;Toyota;Female;Single;29;Sedan;less than 20000;400;1;2 to 4;6 years;External;1 vehicle;All Perils;0
42816;Pontiac;Female;Married;75;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;All Perils;0
27305;Toyota;Male;Married;63;Sedan;more than 69000;400;2;1;more than 7;External;1 vehicle;All Perils;0
18140;Pontiac;Male;Married;56;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
11942;Honda;Male;Married;37;Sport;20000 to 29000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
44288;Mazda;Male;Married;33;Sedan;20000 to 29000;400;1;1;6 years;External;1 vehicle;Collision;0
5694;Mazda;Male;Single;21;Sedan;20000 to 29000;400;1;1;6 years;External;1 vehicle;Collision;0
34768;Honda;Male;Single;27;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;Collision;0
26329;Mazda;Male;Married;35;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;2 vehicles;Collision;0
33056;Honda;Male;Married;28;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;Collision;0
16820;Chevrolet;Female;Single;29;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;All Perils;0
48829;Chevrolet;Male;Married;26;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;All Perils;1
38122;Toyota;Female;Married;31;Sport;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
26732;Toyota;Male;Married;62;Sedan;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Collision;0
40459;Chevrolet;Male;Married;35;Sport;60000 to 69000;400;4;none;6 years;External;1 vehicle;Liability;0
4789;VW;Female;Married;44;Sedan;30000 to 39000;400;2;none;7 years;External;1 vehicle;Collision;0
28098;Mazda;Male;Married;33;Sedan;more than 69000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
35457;Mazda;Male;Married;52;Sport;more than 69000;400;3;none;more than 7;External;1 vehicle;Collision;0
8966;Chevrolet;Male;Married;28;Utility;more than 69000;400;3;more than 4;7 years;External;1 vehicle;All Perils;0
34717;Mazda;Male;Married;34;Sedan;30000 to 39000;400;1;none;7 years;External;1 vehicle;Collision;0
39075;Toyota;Female;Single;29;Sport;20000 to 29000;400;2;1;5 years;External;1 vehicle;Liability;0
28296;Ford;Male;Single;74;Sedan;60000 to 69000;400;3;none;more than 7;External;1 vehicle;Collision;0
18118;Pontiac;Male;Married;42;Sport;20000 to 29000;500;3;2 to 4;more than 7;External;2 vehicles;Liability;0
21138;Mazda;Female;Married;27;Sport;20000 to 29000;400;3;1;7 years;External;1 vehicle;Liability;0
7674;Mazda;Female;Single;36;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
34333;Toyota;Male;Single;44;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;All Perils;0
44667;Mazda;Male;Married;32;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;All Perils;0
39190;Toyota;Male;Married;37;Sedan;30000 to 39000;400;1;1;more than 7;External;1 vehicle;Collision;0
42444;Mazda;Male;Single;30;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
27589;VW;Male;Married;43;Sedan;20000 to 29000;400;4;1;more than 7;External;1 vehicle;Collision;0
34099;Toyota;Male;Married;40;Sedan;20000 to 29000;500;4;1;7 years;External;1 vehicle;Collision;1
20628;Pontiac;Male;Single;35;Sport;30000 to 39000;400;1;none;6 years;External;1 vehicle;Liability;0
16732;Toyota;Male;Married;41;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;All Perils;0
5815;Honda;Male;Married;33;Sedan;less than 20000;400;4;none;6 years;External;1 vehicle;All Perils;0
34563;Chevrolet;Male;Married;40;Sedan;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
1123;Pontiac;Male;Single;31;Sedan;less than 20000;400;4;none;5 years;External;1 vehicle;All Perils;0
43964;Pontiac;Male;Married;55;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
47429;Mazda;Male;Married;27;Sedan;20000 to 29000;400;3;more than 4;6 years;External;1 vehicle;Collision;0
9234;Chevrolet;Male;Married;51;Sedan;more than 69000;400;3;2 to 4;more than 7;External;1 vehicle;All Perils;0
36990;Mazda;Male;Single;40;Sedan;20000 to 29000;400;2;1;7 years;External;1 vehicle;Collision;0
45227;Toyota;Female;Married;54;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;All Perils;1
14235;Accura;Male;Married;59;Utility;more than 69000;400;4;1;5 years;External;1 vehicle;All Perils;0
23128;Toyota;Male;Married;44;Sport;20000 to 29000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
48587;Mazda;Female;Married;42;Sport;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Liability;0
47494;Toyota;Male;Single;24;Sedan;less than 20000;400;1;more than 4;3 years;External;1 vehicle;Collision;0
5600;Chevrolet;Female;Single;26;Sport;20000 to 29000;400;1;none;5 years;External;1 vehicle;Liability;0
2856;Honda;Male;Married;34;Sedan;20000 to 29000;400;1;none;6 years;External;2 vehicles;Collision;0
15059;Pontiac;Male;Single;27;Sport;20000 to 29000;400;2;2 to 4;6 years;Internal;1 vehicle;Liability;0
9575;Honda;Male;Single;0;Sport;more than 69000;400;3;2 to 4;new;External;1 vehicle;Liability;0
6331;Toyota;Male;Married;34;Sport;20000 to 29000;400;3;1;7 years;Internal;1 vehicle;Liability;0
16095;Honda;Male;Single;32;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
9454;Pontiac;Female;Married;53;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;All Perils;1
19975;Mazda;Male;Married;35;Sport;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Liability;0
6840;Toyota;Male;Married;43;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
30056;Ford;Male;Married;37;Sedan;40000 to 59000;400;4;1;7 years;External;2 vehicles;All Perils;0
43005;Toyota;Male;Married;36;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;Collision;0
40396;Chevrolet;Male;Married;37;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
20117;Mazda;Female;Married;31;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;Collision;0
42159;Mazda;Male;Single;31;Sport;more than 69000;400;4;2 to 4;6 years;External;1 vehicle;Liability;0
7041;Pontiac;Female;Married;32;Sedan;20000 to 29000;400;2;none;6 years;External;1 vehicle;Collision;0
48849;Chevrolet;Female;Single;33;Sedan;20000 to 29000;400;1;more than 4;6 years;External;1 vehicle;Collision;0
25941;Toyota;Male;Married;41;Sedan;20000 to 29000;400;3;none;6 years;External;1 vehicle;Collision;0
10375;Mazda;Male;Single;50;Sport;20000 to 29000;700;4;none;more than 7;External;1 vehicle;Liability;0
37481;Honda;Male;Single;27;Sedan;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Collision;0
38868;Mazda;Male;Married;56;Sport;less than 20000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;0
35790;Toyota;Male;Married;34;Sedan;20000 to 29000;400;4;1;4 years;External;1 vehicle;All Perils;0
1877;Toyota;Male;Married;48;Sport;30000 to 39000;500;4;more than 4;more than 7;External;1 vehicle;Liability;0
12594;Pontiac;Male;Married;30;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;All Perils;0
45085;Toyota;Male;Married;33;Sedan;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;All Perils;0
14646;Toyota;Male;Married;29;Sedan;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Collision;0
7367;Toyota;Male;Single;24;Sedan;20000 to 29000;400;1;none;5 years;External;1 vehicle;All Perils;0
27072;Pontiac;Female;Married;38;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
22732;Pontiac;Male;Married;45;Sedan;20000 to 29000;400;2;none;6 years;External;3 to 4;Collision;0
27475;Honda;Male;Married;32;Sport;20000 to 29000;400;4;1;7 years;External;1 vehicle;Liability;0
10257;Toyota;Male;Married;56;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;All Perils;0
21424;Toyota;Female;Married;35;Sport;more than 69000;400;3;none;7 years;External;1 vehicle;Liability;0
29766;Toyota;Male;Married;40;Sport;20000 to 29000;700;2;more than 4;more than 7;External;1 vehicle;Liability;0
10362;Chevrolet;Male;Married;31;Sport;more than 69000;400;3;more than 4;7 years;External;2 vehicles;Liability;0
16831;Mazda;Male;Married;43;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;Collision;0
